Avail_Sol,Avail_Wind_On,Avail_Wind_Off
0,0.556072906,0.568197845
0,0.557707817,0.538997665
0,0.555191349,0.530494775
0,0.548045546,0.52675387
0,0.546993132,0.532256087
0,0.537803233,0.528013144
0,0.525420416,0.519968219
0,0.507808506,0.506105524
0,0.486295557,0.475342524
0.000181218,0.471164664,0.449814095
0.005827449,0.48146441,0.415173725
0.015089231,0.453577522,0.397468254
0.020642175,0.421319287,0.366604325
0.016265386,0.393452452,0.335997785
0.004935364,0.356598024,0.303254844
0.000288866,0.33008032,0.269460115
0,0.304176488,0.245630628
0,0.284796707,0.227396127
0,0.273853067,0.207716469
0,0.261986659,0.186090042
0,0.258463549,0.170113304
0,0.266311284,0.160672415
0,0.260583433,0.182014652
0,0.258596365,0.199753883
0,0.259759522,0.215789721
0,0.254397071,0.218391136
0,0.248004193,0.207013864
0,0.24982574,0.194996653
0,0.251790288,0.155343064
0,0.261783432,0.120112047
0,0.268720607,0.085793447
0,0.264003453,0.070866941
0,0.259279287,0.068911094
0.000452439,0.252630033,0.076500934
0.032392437,0.246478012,0.08824882
0.09272038,0.225837168,0.105868437
0.11373056,0.210833603,0.105739134
0.088300915,0.183861818,0.10931988
0.024902483,0.162501534,0.106614557
0.000705327,0.131078107,0.109111069
0,0.12052217,0.129243741
0,0.118273972,0.147724813
0,0.124219094,0.157550911
0,0.129942703,0.159597163
0,0.141244874,0.161901002
0,0.152459992,0.157934847
0,0.188117564,0.246114633
0,0.206008308,0.203141455
0,0.229157284,0.159849925
0,0.249223136,0.155718289
0,0.2734429,0.175932154
0,0.285477873,0.180690087
0,0.299249252,0.184467217
0,0.314902219,0.18796947
0,0.324891587,0.188363113
0,0.333244872,0.189766832
0,0.339689344,0.194430838
0.000194949,0.350853358,0.206723135
0.007291466,0.365187353,0.203716509
0.034603335,0.35148478,0.212521542
0.048897758,0.354427365,0.242392168
0.030110428,0.35257726,0.236390989
0.007218656,0.358795562,0.236526409
0.000418499,0.360971196,0.249082757
0,0.359317174,0.265139841
0,0.354604244,0.289716496
0,0.346122542,0.314911474
0,0.346564143,0.328427251
0,0.345706208,0.325754389
0,0.342964192,0.315794179
0,0.349160174,0.329273622
0,0.34334925,0.292963265
0,0.339237845,0.279412726
0,0.337108895,0.282949706
0,0.333861222,0.276019304
0,0.328283851,0.260961665
0,0.327140737,0.243506989
0,0.321479672,0.243880871
0,0.312591772,0.248274307
0,0.311054765,0.252889582
0,0.314412303,0.268707636
0.000271832,0.316321386,0.286698107
0.007039926,0.321969099,0.316477827
0.019239199,0.311564712,0.311579646
0.021656966,0.306837958,0.320169322
0.015018226,0.301056418,0.319616363
0.007078364,0.309702485,0.333113622
0.000566254,0.324954086,0.351912299
0,0.339014306,0.358181439
0,0.350849697,0.360717982
0,0.364423504,0.375414729
0,0.37183071,0.397131515
0,0.367691825,0.398396879
0,0.367609668,0.394719687
0,0.368549743,0.366505638
0,0.364345536,0.365100049
0,0.359538701,0.377207169
0,0.351792332,0.394916978
0,0.343729222,0.42089019
0,0.333858058,0.441573836
0,0.327767102,0.454829516
0,0.312529858,0.454726698
0,0.294920849,0.459982871
0,0.275084772,0.470963022
0,0.260329728,0.480042676
0.000371233,0.242527824,0.482068402
0.01527217,0.234984707,0.462969887
0.070437777,0.223426256,0.448354768
0.094297105,0.20559462,0.45232226
0.084177654,0.195217986,0.460710641
0.029529234,0.191004335,0.482109182
0.000980796,0.185804748,0.481650504
0,0.184418352,0.50907448
0,0.183656869,0.567537156
0,0.189517951,0.644835348
0,0.201956322,0.691801549
0,0.214702169,0.696408156
0,0.227916241,0.690047029
0,0.273660203,0.620506084
0,0.268663623,0.618775739
0,0.284084674,0.645407346
0,0.314783581,0.660527885
0,0.326101268,0.645920464
0,0.333674382,0.599106148
0,0.342986311,0.562391546
0,0.35501333,0.524366093
0,0.361914127,0.503260963
0,0.363704566,0.50859155
0,0.366580301,0.586695715
0.000715756,0.365617521,0.691947785
0.054804549,0.407464113,0.744188903
0.145024174,0.420549291,0.747856451
0.158527942,0.431643614,0.741809524
0.134214006,0.447469642,0.751761791
0.071708746,0.448947466,0.784682586
0.002256172,0.460365306,0.789822757
0,0.454350109,0.757807499
0,0.460083296,0.752877377
0,0.461527018,0.741302352
0,0.460019406,0.716540421
0,0.454045666,0.708352729
0,0.443193549,0.706127424
0,0.433822727,0.726241739
0,0.430722657,0.766989199
0,0.405554841,0.741539586
0,0.389635657,0.584364552
0,0.34832885,0.429575868
0,0.361638739,0.403526149
0,0.405329987,0.48407266
0,0.478616753,0.639058042
0,0.562044614,0.647945868
0,0.638446922,0.464293179
0,0.669645239,0.559330558
0.00081267,0.692180854,0.779083303
0.035181618,0.679870008,0.762548303
0.065972632,0.657492112,0.555685599
0.069862044,0.622957366,0.377137148
0.063074539,0.602893348,0.477932086
0.022569492,0.61103609,0.651181632
0.000898786,0.630235297,0.789882777
0,0.639463652,0.788553552
0,0.642717742,0.80180893
0,0.645965196,0.821580657
0,0.645398021,0.828969067
0,0.645982711,0.836854008
0,0.636090455,0.846146827
0,0.627352765,0.82335673
0,0.612956944,0.86094751
0,0.590707406,0.876434866
0,0.559017503,0.863235856
0,0.518617305,0.83360533
0,0.498460618,0.795645042
0,0.474829093,0.723405144
0,0.461399871,0.643102844
0,0.470787466,0.583816419
0,0.489776385,0.55436239
0,0.491080693,0.537928344
0.000793019,0.477901086,0.539941169
0.03979814,0.465632011,0.610583174
0.096424031,0.458602948,0.632977248
0.106645649,0.437564673,0.674564668
0.104071689,0.420613558,0.746507766
0.045895108,0.41006654,0.776687875
0.001898342,0.377908718,0.778989806
0,0.356538971,0.789160851
0,0.343453044,0.798008647
0,0.335617249,0.817474811
0,0.322421687,0.827793551
0,0.319804019,0.84027006
0,0.324269078,0.855142918
0,0.333079805,0.849055161
0,0.338210888,0.865890345
0,0.338654631,0.874353064
0,0.344133933,0.877818044
0,0.337934502,0.863819844
0,0.336937167,0.836207442
0,0.337080068,0.807386748
0,0.333439579,0.787329733
0,0.331951288,0.776664264
0,0.333020654,0.766928495
0,0.33847015,0.755511404
0.001177606,0.346511652,0.738538971
0.081798191,0.389138616,0.726592521
0.230753754,0.382869049,0.661074493
0.267159735,0.372884991,0.625181437
0.230994094,0.368790821,0.605288039
0.100076772,0.373743862,0.609420181
0.003381202,0.377683716,0.622639013
0,0.371603401,0.621274653
0,0.368891487,0.611479115
0,0.374878669,0.596478147
0,0.381466746,0.576818676
0,0.391366565,0.560640182
0,0.405876424,0.533426708
0,0.444821243,0.470433248
0,0.457002282,0.485598231
0,0.457556502,0.506962538
0,0.460301052,0.523662858
0,0.465167434,0.532856099
0,0.458719113,0.517283962
0,0.455059356,0.510177892
0,0.453800176,0.496168066
0,0.452948956,0.470069975
0,0.459610273,0.450301633
0,0.461018824,0.43046701
0.000727894,0.461931278,0.44152393
0.043261005,0.460159473,0.494267469
0.143330013,0.471109093,0.50422558
0.19213035,0.476642754,0.477497087
0.154792172,0.465648921,0.438721627
0.044531515,0.455427418,0.417777246
0.001024481,0.443741189,0.431016173
0,0.427793028,0.440559242
0,0.410927477,0.428803807
0,0.394054199,0.422590101
0,0.38216417,0.42745414
0,0.380721913,0.451975346
0,0.378276696,0.483542635
0,0.375814515,0.457524237
0,0.382470685,0.491800875
0,0.380984424,0.515123018
0,0.370284472,0.533148234
0,0.361532584,0.576136286
0,0.351972873,0.59645584
0,0.342478137,0.606220852
0,0.337046834,0.599491889
0,0.320658222,0.576473983
0,0.306567765,0.55259406
0,0.289866149,0.531086779
0.000568333,0.27439781,0.521710484
0.010484586,0.265701078,0.553471576
0.026994958,0.243611074,0.584579361
0.038920346,0.233720261,0.601894023
0.028492148,0.220565109,0.600676807
0.015517319,0.208850196,0.590308467
0.001355164,0.207946531,0.580923743
2.51E-08,0.201368721,0.554796534
0,0.196296928,0.534623226
0,0.186038318,0.522782157
0,0.18442933,0.525713831
0,0.184617007,0.536168003
0,0.181806329,0.560184833
0,0.1783458,0.630671288
0,0.179969233,0.652231454
0,0.181633983,0.65483622
0,0.181858584,0.653416836
0,0.183750699,0.650083495
0,0.187925193,0.642067086
0,0.197468152,0.612977492
0,0.198900143,0.554441314
0,0.201750406,0.495991464
0,0.200029261,0.500856428
0,0.188756259,0.452276743
0.001166072,0.182236313,0.436680152
0.039648224,0.187007529,0.406735596
0.116499948,0.189182073,0.419822215
0.114817296,0.194766988,0.415174573
0.102319844,0.199242794,0.405200681
0.052101105,0.207124668,0.393408713
0.003650141,0.217580128,0.383162628
1.73E-07,0.219121471,0.371217054
0,0.226084935,0.403141765
0,0.235963343,0.418025014
0,0.248449567,0.419056237
0,0.255849512,0.421573631
0,0.269211798,0.431127888
0,0.27114569,0.444974334
0,0.293521677,0.488073755
0,0.301886682,0.502781584
0,0.306436363,0.494623702
0,0.315313975,0.46759327
0,0.321774264,0.432310885
0,0.326180178,0.396050533
0,0.331221726,0.383475815
0,0.348158873,0.392128193
0,0.361123937,0.391302436
0,0.362827656,0.401162138
0.00103397,0.357176735,0.403119578
0.045154988,0.363707229,0.396346955
0.136199157,0.360532337,0.392389791
0.16994365,0.360501999,0.366088053
0.142443453,0.365161569,0.35808353
0.068550516,0.368973977,0.361861291
0.003670805,0.367216665,0.354532679
3.35E-07,0.361122214,0.364374269
0,0.360111208,0.407361247
0,0.373587159,0.475673288
0,0.391531582,0.510521191
0,0.402490155,0.529641908
0,0.406646399,0.543445866
0,0.400927775,0.602684956
0,0.412476697,0.634265338
0,0.417971205,0.644560305
0,0.419222992,0.666120967
0,0.428975481,0.701600041
0,0.44037479,0.738969913
0,0.455549322,0.779470568
0,0.474494051,0.81589259
0,0.499789361,0.844428237
0,0.531064479,0.861541913
0,0.557807775,0.869117671
0.00121614,0.581962301,0.870138153
0.043713787,0.599244619,0.885078259
0.132092769,0.622541564,0.887787174
0.141450723,0.63918303,0.862715294
0.109580374,0.668906296,0.843062532
0.047536674,0.699574222,0.852206657
