MTU (CET),Demand,Price
01.01.2018 00:00 - 01.01.2018 01:00,12373.99929,26.33
01.01.2018 01:00 - 01.01.2018 02:00,12359.6234,26.43
01.01.2018 02:00 - 01.01.2018 03:00,12375.31547,26.1
01.01.2018 03:00 - 01.01.2018 04:00,12768.85097,24.7
01.01.2018 04:00 - 01.01.2018 05:00,13634.51598,24.74
01.01.2018 05:00 - 01.01.2018 06:00,14192.96468,18.01
01.01.2018 06:00 - 01.01.2018 07:00,14048.31827,17.78
01.01.2018 07:00 - 01.01.2018 08:00,13992.34486,17.8
01.01.2018 08:00 - 01.01.2018 09:00,14048.93695,19.76
01.01.2018 09:00 - 01.01.2018 10:00,14046.49379,20.73
01.01.2018 10:00 - 01.01.2018 11:00,14035.64749,24.76
01.01.2018 11:00 - 01.01.2018 12:00,14023.68247,25.68
01.01.2018 12:00 - 01.01.2018 13:00,14016.90409,24.09
01.01.2018 13:00 - 01.01.2018 14:00,14015.22827,25.01
01.01.2018 14:00 - 01.01.2018 15:00,14067.71939,25.81
01.01.2018 15:00 - 01.01.2018 16:00,14181.72344,26.46
01.01.2018 16:00 - 01.01.2018 17:00,14212.96644,27.03
01.01.2018 17:00 - 01.01.2018 18:00,14194.65702,27.43
01.01.2018 18:00 - 01.01.2018 19:00,14106.77088,27.29
01.01.2018 19:00 - 01.01.2018 20:00,13983.47771,26.96
01.01.2018 20:00 - 01.01.2018 21:00,13685.75774,26.7
01.01.2018 21:00 - 01.01.2018 22:00,13096.7658,26.47
01.01.2018 22:00 - 01.01.2018 23:00,12445.18951,26.09
01.01.2018 23:00 - 02.01.2018 00:00,12257.41693,24.88
02.01.2018 00:00 - 02.01.2018 01:00,12120.89211,25.28
02.01.2018 01:00 - 02.01.2018 02:00,12097.6806,23.16
02.01.2018 02:00 - 02.01.2018 03:00,12106.83757,24.78
02.01.2018 03:00 - 02.01.2018 04:00,12483.10502,25.03
02.01.2018 04:00 - 02.01.2018 05:00,13425.24225,25.73
02.01.2018 05:00 - 02.01.2018 06:00,14008.41385,26.84
02.01.2018 06:00 - 02.01.2018 07:00,13878.76276,27.8
02.01.2018 07:00 - 02.01.2018 08:00,13806.53417,30.5
02.01.2018 08:00 - 02.01.2018 09:00,13857.59273,31.93
02.01.2018 09:00 - 02.01.2018 10:00,13869.51871,33.53
02.01.2018 10:00 - 02.01.2018 11:00,13876.06583,35.04
02.01.2018 11:00 - 02.01.2018 12:00,13884.25574,35.22
02.01.2018 12:00 - 02.01.2018 13:00,13890.22924,34.56
02.01.2018 13:00 - 02.01.2018 14:00,13890.70076,34.1
02.01.2018 14:00 - 02.01.2018 15:00,13945.19956,35.98
02.01.2018 15:00 - 02.01.2018 16:00,14048.36933,38.05
02.01.2018 16:00 - 02.01.2018 17:00,14066.49555,41.67
02.01.2018 17:00 - 02.01.2018 18:00,14052.69854,42.39
02.01.2018 18:00 - 02.01.2018 19:00,13929.58407,37.79
02.01.2018 19:00 - 02.01.2018 20:00,13799.75579,33.7
02.01.2018 20:00 - 02.01.2018 21:00,13529.67039,30.88
02.01.2018 21:00 - 02.01.2018 22:00,12969.61644,28.85
