MTU (CET),Demand,Day-ahead Price [EUR/MWh]
01.01.2018 00:00 - 01.01.2018 01:00,20094.85,26.33
01.01.2018 01:00 - 01.01.2018 02:00,19905.35,26.43
01.01.2018 02:00 - 01.01.2018 03:00,19720.58,26.1
01.01.2018 03:00 - 01.01.2018 04:00,19587.64,24.7
01.01.2018 04:00 - 01.01.2018 05:00,20235.07,24.74
01.01.2018 05:00 - 01.01.2018 06:00,21831.42,18.01
01.01.2018 06:00 - 01.01.2018 07:00,22934.54,17.78
01.01.2018 07:00 - 01.01.2018 08:00,22836.46,17.8
01.01.2018 08:00 - 01.01.2018 09:00,22786.75,19.76
01.01.2018 09:00 - 01.01.2018 10:00,22726.99,20.73
01.01.2018 10:00 - 01.01.2018 11:00,22682.18,24.76
01.01.2018 11:00 - 01.01.2018 12:00,22657.66,25.68
01.01.2018 12:00 - 01.01.2018 13:00,22645.12,24.09
01.01.2018 13:00 - 01.01.2018 14:00,22659.94,25.01
01.01.2018 14:00 - 01.01.2018 15:00,22655.36,25.81
01.01.2018 15:00 - 01.01.2018 16:00,22718.3,26.46
01.01.2018 16:00 - 01.01.2018 17:00,22828.99,27.03
01.01.2018 17:00 - 01.01.2018 18:00,22842.08,27.43
01.01.2018 18:00 - 01.01.2018 19:00,22854.5,27.29
01.01.2018 19:00 - 01.01.2018 20:00,22486.83,26.96
01.01.2018 20:00 - 01.01.2018 21:00,22173.3,26.7
01.01.2018 21:00 - 01.01.2018 22:00,21819.47,26.47
01.01.2018 22:00 - 01.01.2018 23:00,21006.04,26.09
01.01.2018 23:00 - 02.01.2018 00:00,20314.57,24.88
02.01.2018 00:00 - 02.01.2018 01:00,20070.48,25.28
02.01.2018 01:00 - 02.01.2018 02:00,19883.87,23.16
02.01.2018 02:00 - 02.01.2018 03:00,19848.42,24.78
02.01.2018 03:00 - 02.01.2018 04:00,19871.99,25.03
02.01.2018 04:00 - 02.01.2018 05:00,20477.61,25.73
02.01.2018 05:00 - 02.01.2018 06:00,22089.01,26.84
02.01.2018 06:00 - 02.01.2018 07:00,23084.32,27.8
02.01.2018 07:00 - 02.01.2018 08:00,22863.69,30.5
02.01.2018 08:00 - 02.01.2018 09:00,22771.89,31.93
02.01.2018 09:00 - 02.01.2018 10:00,22728.26,33.53
02.01.2018 10:00 - 02.01.2018 11:00,22694.96,35.04
02.01.2018 11:00 - 02.01.2018 12:00,22661.13,35.22
02.01.2018 12:00 - 02.01.2018 13:00,22646.05,34.56
02.01.2018 13:00 - 02.01.2018 14:00,22635.52,34.1
02.01.2018 14:00 - 02.01.2018 15:00,22655.36,35.98
02.01.2018 15:00 - 02.01.2018 16:00,22741.34,38.05
02.01.2018 16:00 - 02.01.2018 17:00,22856.03,41.67
02.01.2018 17:00 - 02.01.2018 18:00,22921,42.39
02.01.2018 18:00 - 02.01.2018 19:00,22963.09,37.79
02.01.2018 19:00 - 02.01.2018 20:00,22582.31,33.795
02.01.2018 20:00 - 02.01.2018 21:00,22231.96,30.88
02.01.2018 21:00 - 02.01.2018 22:00,21860.92,28.85
02.01.2018 22:00 - 02.01.2018 23:00,21065.42,27.99
02.01.2018 23:00 - 03.01.2018 00:00,20444.71,27.6
03.01.2018 00:00 - 03.01.2018 01:00,20113.32,27.12
